Company_Id,Company_Name,Industry,Employees_Count,Linkedin_Followers
2001,Uplers,IT Services and IT Consulting,5000,718560
2002,Uplers,IT Services and IT Consulting,5000,718519
2003,Uplers,IT Services and IT Consulting,5000,718590
2004,SME Consulting Private Limited,Business Consulting and Services,50,43
2005,Mirats.,IT Services and IT Consulting,50,815
2006,Splisys,IT Services and IT Consulting,200,1204
2007,AEC - Abroad Education Consultants,Education Administration Programs,200,1749
2008,NG Networks,Computer and Network Security,50,1873
2009,Barclays,Financial Services,10001,1323372
2010,Novartis India,Pharmaceutical Manufacturing,10001,121337
2011,IDFC FIRST Bank,Banking,10001,883817
2012,NOV,Oil and Gas,10001,640435
2013,IDFC FIRST Bank,Banking,10001,883833
2014,IDFC FIRST Bank,Banking,10001,883829
2015,IDFC FIRST Bank,Banking,10001,883867
2016,Bank of America,Banking,10001,2375126
2017,Vitasta Consulting Pvt Ltd,Human Resources Services,50,39716
2018,Mahindra Group,Executive Offices,10001,1104898
2019,General Mills,Manufacturing,10001,582895
2020,JLL,Real Estate,10001,1616257
2021,Chain2bollywood,Media Production,10,6
2022,Ford Motor Company,Motor Vehicle Manufacturing,10001,3749253
2023,PwC India,Business Consulting and Services,10000,947440
2024,PwC,Accounting,10001,4844136
2025,BNP Paribas,Banking,10001,1231268
2026,Aster DM Healthcare,Hospitals and Health Care,10001,304960
2027,BNP Paribas,Banking,10001,1231321
2028,BNP Paribas,Banking,10001,1231267
2029,Sutherland,IT Services and IT Consulting,10001,496701
2030,Sutherland,IT Services and IT Consulting,10001,496702
2031,Sutherland,IT Services and IT Consulting,10001,496700
2032,Tech Mahindra Business Services,IT Services and IT Consulting,10000,43054
2033,HyreFox Consultants,Human Resources Services,200,13064
2034,HyreFox Consultants,Human Resources Services,200,13064
2035,Sutherland,IT Services and IT Consulting,10001,496705
2036,Barclays,Financial Services,10001,1323372
2037,SHARP NGO,Non-profit Organizations,200,4507
2038,Hire Digital,Advertising Services,200,335282
2039,Business Employment,IT Services and IT Consulting,50,517
2040,Business Employment,IT Services and IT Consulting,50,517
2041,Revnue,Software Development,200,26696
2042,Gyizer,Software Development,50,1173
2043,RC Project Consultancy (RCPC),Civil Engineering,10,6085
2044,GlobalHunt,Staffing and Recruiting,1000,102094
2045,Barclays,Financial Services,10001,1323366
2046,Barclays,Financial Services,10001,1323387
2047,MakroCare,Pharmaceutical Manufacturing,1000,15283
2048,Customized Energy Solutions,Utilities,500,14117
2049,Anaxee Digital Runners Private Limited,Information Services,200,3372
2050,Creator,Food and Beverage Services,50,4211
2051,Innovalus Technologies,Human Resources Services,50,5798
2052,Monster India,Software Development,1000,27152
2053,Besides Digital,IT Services and IT Consulting,10,397
2054,Elite Biotech,Biotechnology Research,50,1367
2055,XOXOtails,Veterinary Services,10,2175
2056,Urban Company,"Technology, Information and Internet",5000,313805
2057,The Sports Gurukul,Spectator Sports,50,1580
2058,Srinika,Animation and Post-production,10,164
2059,Anaxee Digital Runners Private Limited,Information Services,200,3372
2060,Uplers,IT Services and IT Consulting,5000,718506
2061,Cyient,IT Services and IT Consulting,10001,307269
2062,ANS Commerce,"Technology, Information and Internet",200,6572
2063,Industrybuying.com,Retail Office Equipment,1000,21374
2064,Merck Group,Pharmaceutical Manufacturing,10001,819602
2065,Accel in India,Venture Capital and Private Equity Principals,200,7920
2066,Manish Chaturvedi Photography & Films,Photography,10,11
2067,Catenon India,Human Resources Services,200,170327
2068,Dhingra Pharma,"Appliances, Electrical, and Electronics Manufacturing",10,189
2069,Uplers,IT Services and IT Consulting,5000,718571
2070,Antal International,Staffing and Recruiting,5000,626464
2071,KSM Associates,IT Services and IT Consulting,200,36
2072,Infor,Software Development,10001,797249
2073,Grow Online,Advertising Services,10,202
2074,MoneyyApp,"Technology, Information and Internet",50,5434
2075,Wiingy,E-Learning Providers,50,10434
2076,Fyp,Financial Services,50,10730
2077,onlydigitalway,Marketing Services,10,300
2078,Spectrum Insurance Broking (P) Limited,Insurance,200,4473
2079,AGRIM,"Technology, Information and Internet",200,12711
2080,Wedding Affair,Online Audio and Video Media,50,2557
2081,Global Tree,Education Administration Programs,500,5138
2082,Daten & Wissen,IT Services and IT Consulting,50,7131
2083,iPhone Photography School,Media Production,50,18868
2084,OLIVER Agency,Advertising Services,5000,115326
2085,SAK GROUP,Advertising Services,10,1735
2086,Modifyed Digital,Advertising Services,50,1897
2087,One Four Seven,Advertising Services,200,19621
2088,Digital Class,IT Services and IT Consulting,10,15
2089,MUFG,Financial Services,10001,263395
2090,Hawk-Eye Innovations Ltd,Spectator Sports,500,27816
2091,Accenture in India,IT Services and IT Consulting,10001,1531446
2092,Barclays,Financial Services,10001,1323371
2093,bp,Oil and Gas,10001,3277295
2094,Your Retail Coach,Business Consulting and Services,50,3376
2095,Business Employment,IT Services and IT Consulting,50,518
2096,Business Employment,IT Services and IT Consulting,50,517
2097,Uplers,IT Services and IT Consulting,5000,718622
2098,Booming Bulls Academy™,Education Administration Programs,200,2418
2099,Universal Electronics,Computers and Electronics Manufacturing,5000,28877
2100,IDFC FIRST Bank,Banking,10001,883959
2101,White Force Group,Staffing and Recruiting,500,43963
2102,Tata ClassEdge,E-Learning Providers,500,20655
2103,Barclays,Financial Services,10001,1323409
2104,Barclays,Financial Services,10001,1323409
2105,77 Million Digital Marketing Agency,Advertising Services,50,2092
2106,Android Developer,IT Services and IT Consulting,200,84267
2107,CouponsWala,Retail,50,190
2108,Fortuna PR,Public Relations and Communications Services,200,1392
2109,Money Making Trading Courses,Financial Services,10,30
2110,Pinacle Web India,IT Services and IT Consulting,50,388
2111,Crony Technovest OPC Private Limited,IT Services and IT Consulting,50,330
2112,MITYUNG,"Technology, Information and Internet",200,3257
2113,Octro Inc.,Software Development,200,5057
2114,Upperthrust Technologies Private Limited,IT Services and IT Consulting,50,3763
2115,PROVOST,Retail Office Equipment,500,3756
2116,Aristocrat IT Solutions Pvt. Ltd.,IT Services and IT Consulting,200,4466
2117,LOOKS SALON PVT. LTD.,Consumer Services,1000,12921
2118,ResCare Community Living,Hospitals and Health Care,10000,1430
2119,Sutherland,IT Services and IT Consulting,10001,496726
2120,Business Employment,IT Services and IT Consulting,50,518
2121,Uplers,IT Services and IT Consulting,5000,718619
2122,EngageMyTalent HR Solutions,Human Resources Services,50,77
2123,Women Hopes,Hospitals and Health Care,10,316
2124,Rapid Techs,Consumer Services,10,7
2125,Collins Aerospace,Aviation and Aerospace Component Manufacturing,10001,545463
2126,Kaarlo Training & HR Solutions Pvt. Ltd.,Human Resources Services,10,760
2127,Capita,IT Services and IT Consulting,10001,291962
2128,JLL,Real Estate,10001,1616288
2129,JLL,Real Estate,10001,1616289
2130,Wish A Design,Advertising Services,50,87
2131,AONE HR SERVICES,Staffing and Recruiting,10,8505
2132,Arth,Construction,500,10227
2133,Qualicentric LLP,Financial Services,50,9682
2134,World Health Organization,International Affairs,10000,5003696
2135,Wipro,IT Services and IT Consulting,10001,6538272
2136,JOBS 'n TA HR Services,Human Resources Services,50,1713
2137,Airbus,Aviation and Aerospace Component Manufacturing,10001,1799843
2138,Barclays,Financial Services,10001,1323422
2139,Barclays,Financial Services,10001,1323440
2140,Barclays,Financial Services,10001,1323444
2141,Barclays,Financial Services,10001,1323444
2142,TELUS International AI Data Solutions,IT Services and IT Consulting,10001,91672
2143,AKMV Consultants,Financial Services,50,1882
2144,IMG Global Infotech Private Limited,IT Services and IT Consulting,200,3497
2145,Barclays,Financial Services,10001,1323387
2146,Tata Communications,Telecommunications,10000,510808
2147,Sakshi Media,Newspaper Publishing,5000,408
2148,Housejoy,Construction,500,12438
2149,Tiny Dot Foods,Food and Beverage Manufacturing,50,217
2150,Medical Dialogues,Newspaper Publishing,50,3075
2151,The Social Media Branding,Marketing Services,50,5
2152,Ronin Labs,"Technology, Information and Internet",50,759
2153,Semporro,Advertising Services,10,295
