Job_Id,Company_Id,Location,Designation,Details_Id
1001,2001,Bengaluru,Account Based Marketing Executive,3001
1002,2002,Greater Delhi Area,Account Based Marketing Executive,3002
1003,2003,Mumbai,Account Based Marketing Executive,3003
1004,2004,Jaipur,Account internship,3004
1005,2005,Lucknow,Account internship,3005
1006,2006,Noida,Account internship,3006
1007,2007,Delhi,Admission Tele Counselor,3007
1008,2008,Chennai,Airport Ground staff,3008
1009,2009,Delhi,Analyst,3009
1010,2010,Hyderabad,Analyst,3010
1011,2011,Hyderabad,API Developer,3011
1012,2012,Navi Mumbai,Applications Engineer,3012
1013,2013,Ludhiana,Area Operations Manager,3013
1014,2014,Ranchi,Area Sales Manager-CA,3014
1015,2015,Telangana,ARM-Liabilities & RM- Branch Banking,3015
1016,2016,Gurgaon,Assistant Manager,3016
1017,2017,Pune,Assistant manager,3017
1018,2018,Bengaluru,Assistant Manager,3018
1019,2019,Mumbai,Assistant Manager ,3019
1020,2020,Hyderabad,Assistant Project Lead,3020
1021,2021,Mumbai,Assisting Video Direction,3021
1022,2022,Chennai,Associate,3022
1023,2023,Greater Delhi Area,Associate,3023
1024,2024,Mumbai,Associate,3024
1025,2025,Bengaluru,Associate - FNO Trade support,3025
1026,2026,Bengaluru,Associate Customer Care,3026
1027,2027,Chennai,Associate- Global Market,3027
1028,2028,Bengaluru,Associate Level 1 - DEC-Brokerage,3028
1029,2029,Navi Mumbai,Associate Manager - Equity Research,3029
1030,2030,Navi Mumbai,Associate Manager - Equity Research,3030
1031,2031,Hyderabad,Associate Mgr-Data Analytics,3031
1032,2032,Noida,Associate Tech Specialist,3032
1033,2033,Mumbai,Associate_Operations,3033
1034,2034,Mumbai,Associate_Service Desk,3034
1035,2035,Chennai,AVP-Customer Experience,3035
1036,2036,Delhi,AVP-Impairment,3036
1037,2037,Bengaluru,Awareness Session Coordinator,3037
1038,2038,Bengaluru,B2B Copywriter,3038
1039,2039,Delhi,Back Office Executive,3039
1040,2040,Delhi,Back Office Executive,3040
1041,2041,Itanagar,Backend Developer,3041
1042,2042,Indore,Backend Development,3042
1043,2043,Mumbai,BD Manager,3043
1044,2044,Mumbai,Brand Manager,3044
1045,2045,Pune,Business Analyst,3045
1046,2046,Pune,Business Analyst,3046
1047,2047,Hyderabad,Business Analyst,3047
1048,2048,Pune,Business Analyst,3048
1049,2049,Indore,Business Analyst,3049
1050,2050,Kolkata,Business Associate,3050
1051,2051,Chennai,Business Development,3051
1052,2052,Bengaluru,Business Development,3052
1053,2053,Chandigarh,Business Development,3053
1054,2054,Noida,Business Development,3054
1055,2055,Noida,Business Development,3055
1056,2056,Patna,Business Development,3056
1057,2057,Jaipur,Business Development,3057
1058,2058,Udaipur,Business Development,3058
1059,2059,Indore,Business Development Executive,3059
1060,2060,Pune,Business Development Representative,3060
1061,2061,Hyderabad,C# developer,3061
1062,2062,Gurgaon,Catalog Associate,3062
1063,2063,Delhi,Catalog Operations,3063
1064,2064,Bengaluru,Chemistry Marketing Operations,3064
1065,2065,Bengaluru,Chief of Staff ,3065
1066,2066,Mumbai,Client Servicing,3066
1067,2067,Mumbai,Client Servicing Head,3067
1068,2068,Bandipura,Clinical Coordinator,3068
1069,2069,Bengaluru,Cloud Support Engineer,3069
1070,2070,Bengaluru,Community Manager,3070
1071,2071,Chennai,Company Secretary,3071
1072,2072,Bengaluru,Consultant,3072
1073,2073,Chennai,Content Creation  ,3073
1074,2074,Jaipur,Content Creation  ,3074
1075,2075,Bengaluru,Content Development,3075
1076,2076,Gurgaon,Content Writing,3076
1077,2077,Delhi,Content Writing,3077
1078,2078,Delhi,Content Writing,3078
1079,2079,Gurgaon,Content Writing,3079
1080,2080,Gurgaon,Content Writing,3080
1081,2081,Hyderabad,Content Writing,3081
1082,2082,Mumbai,Content Writing,3082
1083,2083,South Asia,Copywriter,3083
1084,2084,Mumbai,Copywriter,3084
1085,2085,Greater Kolkata Area,Copywriter,3085
1086,2086,Noida,Copywriter,3086
1087,2087,Delhi,Copywriter,3087
1088,2088,Ahmedabad,Corporate Sales,3088
1089,2089,Delhi,Credit Analyst,3089
1090,2090,Greater Kolkata Area,Cricket Systems Operator,3090
1091,2091,Bengaluru,Customer Service Associate,3091
1092,2092,Pune,Cyber Security,3092
1093,2093,Pune,Data Engineer,3093
1094,2094,Pune,Data Entry,3094
1095,2095,Delhi,Data Entry Operator,3095
1096,2096,Delhi,Data Entry Work,3096
1097,2097,Gurugram,Data Specialist - Remote,3097
1098,2098,Mumbai,Database Building/Managemen,3098
1099,2099,Bengaluru,Database Engineer,3099
1100,2100,Warangal,Debt Manager,3100
1101,2101,Durgapur,Delivery officer,3101
1102,2102,Mumbai,Desktop Support Administrator,3102
1103,2103,Pune,Developer,3103
1104,2104,Pune,Developer,3104
1105,2105,Indore,Digital Marketing,3105
1106,2106,Gurugram,Digital Marketing,3106
1107,2107,Bengaluru,Digital Marketing,3107
1108,2108,Delhi,Digital Marketing,3108
1109,2109,Navi Mumbai,Digital Marketing,3109
1110,2110,Navi Mumbai,Digital Marketing,3110
1111,2111,Noida,Digital Marketing,3111
1112,2112,Noida,Digital Marketing,3112
1113,2113,Noida,Digital Marketing,3113
1114,2114,Pune,Digital Marketing,3114
1115,2115,Hyderabad,DIGITAL MARKETING EXECUTIVE,3115
1116,2116,Chennai,Digital Marketing Specialist,3116
1117,2117,Delhi,Digital Media Marketing,3117
1118,2118,Lephripada,DIRECT SUPPORT PROFESSIONAL,3118
1119,2119,Hyderabad,Director,3119
1120,2120,Delhi,Document verification,3120
1121,2121,Hyderabad,Dotnet Consultant,3121
1122,2122,Kolkata,E Commerce Executive,3122
1123,2123,Delhi,Ecommerce Management,3123
1124,2124,Thrissur,Embedded Systems,3124
1125,2125,Bengaluru,Engg. RMS,3125
1126,2126,Vellore,English Trainer,3126
1127,2127,Pune,Executive,3127
1128,2128,Chennai,Executive,3128
1129,2129,Chennai,Executive,3129
1130,2130,Delhi,Facebook Ads,3130
1131,2131,Noida,Fashion Consultant,3131
1132,2132,Nagpur,Finance Internship,3132
1133,2133,Delhi,Financial Analysis,3133
1134,2134,Delhi,Financial Data Analyst,3134
1135,2135,Pune,Financial Research Analyst,3135
1136,2136,Pattambi,FINANCIAL SERVICE CONSULTANT,3136
1137,2137,Bengaluru,Flight management Development,3137
1138,2138,Delhi,Fraud Analyst,3138
1139,2139,Chennai,Fraud Analyst,3139
1140,2140,Chennai,Fraud Analyst,3140
1141,2141,Chennai,Fraud Analyst,3141
1142,2142,Greater Chennai Area,Freelance Job,3142
1143,2143,Chennai,Front Desk Executive,3143
1144,2144,Jaipur,Front End Development,3144
1145,2145,Pune,Functional SME,3145
1146,2146,Mumbai,General Manager ,3146
1147,2147,Delhi,Graphic Design,3147
1148,2148,Bengaluru,Graphic Design,3148
1149,2149,Chennai,Graphic Design,3149
1150,2150,Delhi,Graphic Design,3150
1151,2151,Jaipur,Graphic Design,3151
1152,2152,Pune,Graphic Design,3152
1153,2153,Pune,Graphic Design,3153
1154,2154,Bengaluru,Growth  associate,3154
1155,2155,Gurugram,GSA - Housekeeping,3155
1156,2156,Kochi,Guest Relations & Ticketing jobs,3156
